,ルーツ,アーツ名,種別,最大Lv,タイミング,判定値,対象,射程,コスト,効果,ルーツ
なんらかのテクノロジーによって創られた被造物をあらわすブラッド。,,,,,,,,,,,
,フルメタル,加速装置,なし,1,判定直前,自動成功,自身,なし,2,あなたは命中判定またはドッジを【技術】+2で行なう。ただし、あなたは判定後に【FP】を4点失う。,ﾌﾙﾒﾀﾙ
,フルメタル,エネルギーチャージ,なし,1,マイナー,自動成功,自身,なし,2,そのメインプロセスの間、あなたが行なう攻撃のダメージに+【技術B】し、属性を【技術】に変更する。,ﾌﾙﾒﾀﾙ
,フルメタル,オールレンジ,魔獣、攻撃,1,メジャー,白兵、射撃,単体,効果参照,2,対象に白兵攻撃か射撃攻撃を行なう。この攻撃を「射程：シーン」に変更し、防御側のドッジの達成値を-2する。,ﾌﾙﾒﾀﾙ
,フルメタル,機神無双,攻撃,1,メジャー,白兵、射撃,範囲,武器,2,範囲の対象に白兵攻撃か射撃攻撃を行なう。この攻撃で「種別：クラード」の対象、および「種別：軍団」のアイテムを装備中の対象に与えるダメージを+7する。,ﾌﾙﾒﾀﾙ
,フルメタル,黒鉄の機身,魔獣,5,効果参照,自動成功,自身,なし,2,あなたがガードを行なう際に使用する。そのガードの間、あなたのG値を+[Lv×3]する。,ﾌﾙﾒﾀﾙ
,フルメタル,鋼鉄の絆,なし,1,効果参照,自動成功,自身,なし,2,いつでも使用できる。あなたが持つ絆からひとつ選択すること。そのシナリオ中、あなたが解放状態で行なうあらゆる判定の達成値に+2する。選択した絆がエゴになっている間、この効果は失われる。,ﾌﾙﾒﾀﾙ
,フルメタル,たったひとつの冴えたやり方,攻撃、魔獣,1,メジャー,白兵,範囲,至近,5,対象に[【技術】+5D6]点のダメージを与える特殊攻撃を行なう。この攻撃に対してはドッジを行なえない。攻撃後、あなたの【FP】は0となる。1シナリオに1回まで使用できる。,ﾌﾙﾒﾀﾙ
,フルメタル,バトルフォーム,魔獣,1,常時,自動成功,自身,なし,0,《魔獣化》の効果中、あなたの行なう攻撃のダメージを+1D6する。あなたの《魔獣化》のコストは+1される。,ﾌﾙﾒﾀﾙ
,フルメタル,万能調達,なし,5,セットアップ,技術,自身,なし,2,あなたは即座に購入判定を1回行なえる。この時、判定値は【技術】となり、達成値に+[Lv×2]する。購入したアイテムを即座に装備または交換してもよい。1シーンに1回まで使用できる。,ﾌﾙﾒﾀﾙ
