0,ルーツ,アーツ名,種別,最大Lv,タイミング,判定値,対象,射程,コスト,効果,ルーツ
,基本,ガーディアンフォーム,自動、魔獣,1,常時,自動成功,自身,なし,0,あなたの【FP】最大値を+30し、《魔獣化》中、あなたのA値を+[最も高い【能力値B】]する。ディフェンダーのアーツの宣言と同時に《魔獣化》を使用できる。,ﾃﾞｨﾌｪﾝﾀﾞｰ
,基本,エゴを阻む者,自動,1,効果参照,自動成功,単体,シーン,愛,対象が「タイミング：常時」を覗くドミニオンアーツを宣言した直後に使用する。そのドミニオンアーツの効果を打ち消す(使用自体はなされたとみなす)。1シナリオ1回、災厄級ドミニオンアーツに対しては使用できない。,ﾃﾞｨﾌｪﾝﾀﾞｰ
,基本,守護の盾,自動,1,効果参照,自動成功,自身,なし,1,カバーリングと同時に使用する。カバーリングを行っても行動済みにならず、行動済みでもカバーリングを行える。,ﾃﾞｨﾌｪﾝﾀﾞｰ
,基本,打ち払い,なし,1,判定直後,自動成功,単体,シーン,2,対象が行なったリアクションの達成値+3。1ラウンド1回。,ﾃﾞｨﾌｪﾝﾀﾞｰ
,基本,エースブロッカー,なし,5,効果参照,自動成功,自身,なし,2,あなたが「種別：防御」のアーツを使用する時に使用する。その効果を+[Lv×3]する。,ﾃﾞｨﾌｪﾝﾀﾞｰ
,基本,回避専念,なし,1,セットアップ,自動成功,自身,なし,1,そのラウンド中、あなたが行なうドッジの達成値+2、命中判定-2する。,ﾃﾞｨﾌｪﾝﾀﾞｰ
,基本,きらめきの壁,なし,3,判定直前,自動成功,範囲,至近,4,あなたを対象に含む「対象：範囲」の攻撃の、命中判定の直前に使用する。その対象をあなた一人に変更する。1シーンにLv回まで使用できる。,ﾃﾞｨﾌｪﾝﾀﾞｰ
,基本,攻撃誘導,なし,1,セットアップ,自動成功,単体,シーン,2,対象に[翻弄：あなた]を与える。,ﾃﾞｨﾌｪﾝﾀﾞｰ
,基本,突き返し,攻撃,3,リアクション,効果参照,単体,武器,4,使用時に装備中の武器一つを選択し、あなたはドッジを選択した武器の判定値で行なう。対決に勝利した場合、攻撃を回避した上で、攻撃側に選択した武器による攻撃が命中したものとして扱う。ただし、攻撃側は選択した武器の射程内でなければならない。1シーンLv回。,ﾃﾞｨﾌｪﾝﾀﾞｰ
,基本,鉄壁の陣,なし,5,効果参照,自動成功,自身,なし,2,あなたがガードを行なう際に使用する。そのガードの間、あなたのG値を+[Lv×3]する。,ﾃﾞｨﾌｪﾝﾀﾞｰ
