,ルーツ,アーツ名,種別,最大Lv,タイミング,判定値,対象,射程,コスト,効果,ルーツ
,基本,サポートフォーム,自動、魔獣,1,常時,自動成功,自身,なし,0,《魔獣化》中、あなたが使用する「種別：回復」「種別：支援」のアーツの効果に+[もっとも高い【能力値B】]する。あなたは《魔獣化》を「タイミング：イニシアチブプロセス」に使用できる。,ｻﾎﾟｰﾀｰ
,基本,絆の救済者,自動、回復,1,効果参照,自動成功,単体,シーン,愛,対象が真の死となった直後に使用する。対象の真の死を回避し、【FP】を完全に回復する。この効果で解放状態でも【FP】を回復できる。1シナリオ1回。このアーツはいかなる効果でも対象を単体から変更できない。,ｻﾎﾟｰﾀｰ
,基本,ワンモアチャンス,自動,1,判定直後,自動成功,単体,シーン,2,対象が行なった判定を振り直させる。1ラウンド1回。,ｻﾎﾟｰﾀｰ
,基本,アタックアシスト,支援,1,DR直前,自動成功,単体,シーン,2,取得時に【能力値B】ひとつを選択する。対象が与えるダメージを+[選択した【能力値B】+1D6]する。1ラウンド1回。,ｻﾎﾟｰﾀｰ
,基本,ガードブレイク,なし,1,DR直前,自動成功,自身,なし,2,このDRで1点でもダメージを受けたキャラクターはそのシーンの間、A値とG値が-10(最低0)される。,ｻﾎﾟｰﾀｰ
,基本,環境構築,なし,3,効果参照,自動成功,自身,なし,2,「種別：支援」のアーツと同時に使用する。その効果に「対象の【FP】を(Lv+1)D6点回復する」を追加する。,ｻﾎﾟｰﾀｰ
,基本,状態復元,回復,5,メジャー,自動成功,単体,シーン,2,取得時に【基本能力値】ひとつを選択する。対象の【FP】を[選択した【基本能力値】+(Lv)D6]点回復し、BS一つを回復する。,ｻﾎﾟｰﾀｰ
,基本,チャンスメイク,なし,1,メジャー,自動成功,単体,シーン,3,あなた以外の対象を未行動にする。このアーツはいかなる効果でも対象を単体から変更できない。,ｻﾎﾟｰﾀｰ
,基本,ディフェンスアシスト,防御,1,DR直後,自動成功,単体,シーン,2,取得時に【能力値B】一つを選択する。対象が受けるダメージを-[選択した【能力値B】+1D6]する。1ラウンド1回。,ｻﾎﾟｰﾀｰ
,基本,フォローアシスト,なし,1,判定直前,自動成功,単体,シーン,2,あなた以外の対象が行なう判定の達成値を+3する。1ラウンド1回。,ｻﾎﾟｰﾀｰ
